Algoritmo,Tamaño,Distribucion,Replica,Tiempo_ms,Memoria_MB
QuickSort,1000,aleatoria,1,5.080500000985921,0.0346221923828125
MergeSort,1000,aleatoria,1,5.490300000019488,0.01639556884765625
QuickSort,1000,aleatoria,2,5.161400000361027,0.0316619873046875
MergeSort,1000,aleatoria,2,7.346999998844694,0.016357421875
QuickSort,1000,aleatoria,3,4.114899998967303,0.0369415283203125
MergeSort,1000,aleatoria,3,10.579699999652803,0.01633453369140625
QuickSort,1000,aleatoria,4,3.5124999994877726,0.04488372802734375
MergeSort,1000,aleatoria,4,6.090699998821947,0.01633453369140625
QuickSort,1000,aleatoria,5,5.525699998543132,0.0442962646484375
MergeSort,1000,aleatoria,5,4.436399998667184,0.01634979248046875
QuickSort,1000,aleatoria,6,2.928500000052736,0.038238525390625
MergeSort,1000,aleatoria,6,4.915999999866472,0.0163421630859375
QuickSort,1000,aleatoria,7,2.6438999993843026,0.02986907958984375
MergeSort,1000,aleatoria,7,3.3588000005693175,0.0163421630859375
QuickSort,1000,aleatoria,8,3.803199999310891,0.03180694580078125
MergeSort,1000,aleatoria,8,3.6358000015752623,0.01633453369140625
QuickSort,1000,aleatoria,9,5.659499998728279,0.0269927978515625
MergeSort,1000,aleatoria,9,4.007899999123765,0.01633453369140625
QuickSort,1000,aleatoria,10,3.9115999989007832,0.0440826416015625
MergeSort,1000,aleatoria,10,5.658799998855102,0.0163421630859375
QuickSort,1000,aleatoria,11,3.652999999758322,0.029388427734375
MergeSort,1000,aleatoria,11,3.0024999996385304,0.0163421630859375
QuickSort,1000,aleatoria,12,2.560899998570676,0.05182647705078125
MergeSort,1000,aleatoria,12,7.160200000726036,0.01633453369140625
QuickSort,1000,aleatoria,13,5.589600001258077,0.03882598876953125
MergeSort,1000,aleatoria,13,4.922099999021157,0.01634979248046875
QuickSort,1000,aleatoria,14,5.303699999785749,0.05037689208984375
MergeSort,1000,aleatoria,14,5.174400001124013,0.01633453369140625
QuickSort,1000,aleatoria,15,4.472599999644444,0.0390472412109375
MergeSort,1000,aleatoria,15,4.919700000755256,0.01633453369140625
QuickSort,1000,aleatoria,16,6.247799999982817,0.05330657958984375
MergeSort,1000,aleatoria,16,4.619899998942856,0.01633453369140625
QuickSort,1000,aleatoria,17,4.385899999761023,0.02718353271484375
MergeSort,1000,aleatoria,17,4.888800000117044,0.01633453369140625
QuickSort,1000,aleatoria,18,3.414599999814527,0.038970947265625
MergeSort,1000,aleatoria,18,3.482399999484187,0.01633453369140625
QuickSort,1000,aleatoria,19,3.8378999997803476,0.05381011962890625
MergeSort,1000,aleatoria,19,4.974700001184829,0.01634979248046875
QuickSort,1000,aleatoria,20,3.088999999818043,0.0405120849609375
MergeSort,1000,aleatoria,20,4.9695999987307005,0.016357421875
QuickSort,1000,aleatoria,21,3.9698999989923323,0.0287322998046875
MergeSort,1000,aleatoria,21,4.308300000047893,0.01634979248046875
QuickSort,1000,aleatoria,22,2.922499999840511,0.041259765625
MergeSort,1000,aleatoria,22,3.7142000001040287,0.01634979248046875
QuickSort,1000,aleatoria,23,4.416699999637785,0.0344390869140625
MergeSort,1000,aleatoria,23,3.6557000003085705,0.0163421630859375
QuickSort,1000,aleatoria,24,3.580300000976422,0.0531005859375
MergeSort,1000,aleatoria,24,4.7273000000132015,0.01633453369140625
QuickSort,1000,aleatoria,25,2.7680000002874294,0.0359039306640625
MergeSort,1000,aleatoria,25,7.227599999168888,0.01633453369140625
QuickSort,1000,aleatoria,26,3.492499999993015,0.032958984375
MergeSort,1000,aleatoria,26,4.576700001052814,0.0163421630859375
QuickSort,1000,aleatoria,27,3.006900000400492,0.02849578857421875
MergeSort,1000,aleatoria,27,4.043300001285388,0.0163421630859375
QuickSort,1000,aleatoria,28,2.787499999612919,0.027923583984375
MergeSort,1000,aleatoria,28,3.267599999162485,0.016357421875
